Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
16-NOV-2023,28369.2,28577.35,28306.95,28447.8,157914747,4851.56
17-NOV-2023,28459.85,28514.95,28284.85,28312.65,119045345,3217.08
20-NOV-2023,28340.4,28407.9,28211.15,28287.2,70115418,2172.22
21-NOV-2023,28450.45,28488.15,28269.45,28356.25,76796334,2600.64
22-NOV-2023,28371.65,28549.7,28313.15,28504.65,72256836,2664.19
23-NOV-2023,28545.4,28636.55,28410.95,28594.85,69282427,2509.15
24-NOV-2023,28625.8,28714.15,28534.25,28558.75,70449262,2274.26
28-NOV-2023,28736.45,29307.95,28670.7,29252.95,167570194,6501.89
29-NOV-2023,29493.35,29526.8,29262.65,29311.85,144013659,6218.62
30-NOV-2023,29314.85,29344.7,29056.05,29294.9,213892670,8410.42
01-DEC-2023,29431.5,29800.7,29421.45,29559.75,151253853,5540.84
04-DEC-2023,30407.45,30437.25,30084.1,30330.5,218050017,7839.28
05-DEC-2023,30526,31344.1,30305.1,31311.9,225781505,10514.98
06-DEC-2023,31750.8,32024.1,31525.35,31797.25,218912115,12818.67
07-DEC-2023,31867.75,32299.75,31833.6,32188.8,305940481,12223.8
08-DEC-2023,32391.85,32409.5,31542.55,31896.25,194065015,8148.91
11-DEC-2023,31971.9,32159.5,31910.85,32023.05,141168435,5231.95
12-DEC-2023,32027.8,32074.4,31481.65,31603.2,100552377,4244.58
13-DEC-2023,31653.35,31853.4,31495.15,31812.1,150715605,5724.23
14-DEC-2023,32085.8,32151.1,31924.65,32075.8,142007129,6295.86
15-DEC-2023,32313.2,32675.65,32095.75,32580.65,192187628,7043
18-DEC-2023,32640.05,32640.05,32393.85,32521.25,112906200,4929.68
19-DEC-2023,32754.25,33126.2,32496.45,33036.15,126782660,5763.95
20-DEC-2023,33236.4,33574.1,32077.35,32151.6,217059744,8364.76
21-DEC-2023,31925.25,32781.5,31787.05,32720.1,135419886,5507.27
22-DEC-2023,32863.25,33042.5,32573.4,32810.15,94473539,4849.82
26-DEC-2023,32955.05,33308.25,32918.4,33246.25,108160897,4196
27-DEC-2023,33473.4,33537.3,33091.4,33212.6,93643095,3994.28
28-DEC-2023,33345.6,33784.8,33262.95,33721.4,230449123,7986.17
29-DEC-2023,33678.9,33679.5,33287.35,33468.05,114829016,4601.95
01-JAN-2024,33562.8,33715.1,33464.45,33544.2,65755753,2396.54
02-JAN-2024,33632.1,33791.4,33238.15,33703.7,117303052,4551.81
03-JAN-2024,33902.55,34074.65,33657.1,33791.6,114880750,6511.81
04-JAN-2024,33974.9,34328.05,33863.2,34189.25,170610892,6281.06
05-JAN-2024,34387.7,34503.8,34067.25,34216.15,142673848,5166.34
08-JAN-2024,34374.6,34472.9,34046.65,34142.6,108223779,3999.21
09-JAN-2024,34379.1,34460.95,34184.6,34226.7,83038061,3222.91
10-JAN-2024,34188.75,34374.3,33791.65,34330.65,115381058,4974.16
11-JAN-2024,34529,34831.35,34493.65,34776.7,127445860,6683.79
12-JAN-2024,34910.2,35016.45,34571,34969.95,130593371,5401.57
15-JAN-2024,35190.85,35480.1,34807.65,35449.85,136968775,4943.13
16-JAN-2024,35456.2,35495.55,35062.2,35185.05,161324011,5828.27
17-JAN-2024,34945,35319.9,34718.25,34853.25,139167854,5366.85
18-JAN-2024,34532.6,34846.1,34066.5,34580.5,150756085,5600.41
19-JAN-2024,34881.05,35034.2,34679.4,34985.3,143301673,5448.27
20-JAN-2024,35116.65,35483.2,35031.15,35236.1,90697671,3881.11
23-JAN-2024,35845,35846.45,34124.55,34324.3,172956443,7521.32
24-JAN-2024,34440.25,34982.85,34104.5,34895.1,182754959,9275.4
25-JAN-2024,34979.85,35330,34876.8,35203.85,162284301,6199.99
29-JAN-2024,35542.25,37106.5,35468.4,37024.75,227637368,10661.72
30-JAN-2024,37221.95,37221.95,36346.25,36398.8,199408131,7968.17
31-JAN-2024,36470.75,36827.85,36460.3,36748,174797316,7243.72
01-FEB-2024,36978.3,37237.65,36714.05,36910.6,162584901,6777.81
02-FEB-2024,37139.05,38226.6,37122.75,38077.7,280865335,11165.18
05-FEB-2024,38395.45,39045.3,38028.85,38481.3,264930913,9224.26
06-FEB-2024,38646.6,38796,37968.5,38721.4,231419290,8126.71
07-FEB-2024,39025.9,39425.75,38768.15,38945.5,201940025,8731.22
08-FEB-2024,39218.45,39600.1,38901.95,39354.35,266405495,10406.76
09-FEB-2024,39571.5,39612.95,38386.1,39037.65,236390350,9423.64
12-FEB-2024,38937.4,38990,37946.15,38097.1,197551470,7483.15
13-FEB-2024,38271.45,38635,37820.4,38394.3,167566427,6814.87
14-FEB-2024,38230.6,39324.45,38087.45,39253.5,183800152,7473.3
15-FEB-2024,39444.95,40064.35,39344.75,39942.15,222606875,9262.49
