Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
16-Nov-23,28589,28972.5,28479.65,28852.7,8757771,1022.86
17-Nov-23,28834.05,29029.25,28791.05,28844.85,6175941,711.74
20-Nov-23,28881.9,28910.05,28727.95,28830.45,14310414,1181.64
21-Nov-23,28966.1,29202.55,28943.7,29137.35,9816477,1008.89
22-Nov-23,29201.35,29297.4,29077.6,29199.15,6575557,788.36
23-Nov-23,29274.2,29307.6,29034.45,29073.45,5351655,568.81
24-Nov-23,29115.05,29153.1,28939.05,28979.05,5043591,636
28-Nov-23,29067.7,29129,28949.7,29054.75,8063433,742.58
29-Nov-23,29235.7,29238.9,28998.95,29029.55,7707980,875.47
30-Nov-23,29081.5,29484.8,28952.55,29439.6,10883900,1416.17
01-Dec-23,29553.6,29791.6,29430.05,29688.6,9141456,2023.03
04-Dec-23,30112.3,30131.65,29648.05,29767.55,8644112,1358.65
05-Dec-23,29814.75,30074.6,29785.4,30044.6,8769445,1132.38
06-Dec-23,30140.8,30186.55,29970.45,30004.95,7987451,788.57
07-Dec-23,30041.35,30350.5,29828.7,30313.8,9370470,952.26
08-Dec-23,30333.15,30444.25,30200.6,30387,9639798,1237.99
11-Dec-23,30448.8,30597.95,30311.7,30563,7655728,1696.29
12-Dec-23,30645.55,30794.55,30187.85,30245.8,9747240,2706.28
13-Dec-23,30330.2,30348.35,29983.8,30289.3,7479077,1632.08
14-Dec-23,30544.95,30544.95,30217.05,30255.25,8287569,1464.82
15-Dec-23,30423.45,30483.8,30274.75,30306.3,10853773,1455.83
18-Dec-23,30321.2,30572.3,30237,30461,14984615,1227.26
19-Dec-23,30489.75,30773.75,30449.75,30711.2,21079294,1794.73
20-Dec-23,30805.55,31195.65,30154.15,30239.1,33845932,3074.22
21-Dec-23,30089.65,30560.4,29929.85,30505.55,15427252,1670.47
22-Dec-23,30624.35,30831.25,30505.8,30767.7,8701208,1136.65
26-Dec-23,30829.05,30942.95,30760.2,30880.75,6605004,782.09
27-Dec-23,31004.25,31082.8,30864.8,31045.2,10036137,1052.11
28-Dec-23,31160.4,31166.85,30998.55,31036.5,7368118,987.02
29-Dec-23,31090.05,31250.1,30919.55,31132.35,12255989,1190.44
01-Jan-24,31212.95,31258.15,31060.4,31117.3,6090388,602.32
02-Jan-24,31189.8,31200.1,30699.75,31117.45,8526769,1127.24
03-Jan-24,31176.65,31372.25,30988.95,31221.75,9420604,910.75
04-Jan-24,31305.05,31463.9,31290.25,31410.1,9152598,1092.79
05-Jan-24,31441.55,31582.2,31296.6,31472.75,7075815,1015.86
08-Jan-24,31682.7,31702.9,31219.85,31268.9,7587020,1089.27
09-Jan-24,31459.25,31564.9,31269.25,31312.4,7689150,891.31
10-Jan-24,31365.15,31565.6,31307.7,31520,12732928,1295.84
11-Jan-24,31676.3,32056.5,31658.95,31893.35,16656759,1812.75
12-Jan-24,31960.45,32138.15,31821.9,32106,6148158,1054.96
15-Jan-24,32156.25,32284.65,32025.4,32218.35,7043849,1174.11
16-Jan-24,32235.55,32590.2,32168.8,32303.7,7472986,1145.23
17-Jan-24,32144.35,32411.25,31988.2,32252.45,7582563,971.66
18-Jan-24,32099.15,32185.1,31503.6,31703.5,8749158,1312.84
19-Jan-24,31787.55,32067.95,31731.05,31848.2,8702695,1939.68
20-Jan-24,32025.9,32070.15,31611.55,31635.15,2359005,355.3
23-Jan-24,31663.4,31795.9,30799.75,30911.2,10870458,1265.29
24-Jan-24,30978.2,31251.5,30687.4,31208.8,8498730,982.28
25-Jan-24,31238.7,31311.8,30795.35,31048.7,6985365,940.3
29-Jan-24,31076.8,31626.95,31063,31582,8432320,1179.29
30-Jan-24,31729.8,31734.5,30950.85,31074.65,10218579,1201.27
31-Jan-24,31071,31507.35,30900.8,31471.65,20845633,2602.4
01-Feb-24,31697.25,31697.25,31212.4,31332.3,13846733,2253.41
02-Feb-24,31447.2,31697.55,31281.55,31430.5,15323554,2035.34
05-Feb-24,31496.55,31555.85,30974.8,31056.1,11232446,1702.19
06-Feb-24,31083.65,31243.2,30980.35,31066.4,11413320,1175.7
07-Feb-24,31267.75,31351.5,31014.65,31148.55,7306335,912.31
08-Feb-24,31318.6,31319.25,30787.4,30958.55,7235082,976.51
09-Feb-24,30997.05,31104.5,30711.6,31028.95,7955755,922.18
12-Feb-24,30998.8,31064.15,30690.3,30756.2,9290104,1090.09
13-Feb-24,30860.55,31034.5,30456.65,30959.7,9499392,1224.69
14-Feb-24,30739.15,31169.6,30629.9,31115.9,7354763,1031.29
15-Feb-24,31140.45,31317.45,31048.95,31277.6,11076305,962.56
