Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
16-NOV-2023,44251.7,44420.95,44064.15,44161.55,144312535,7219.22
17-NOV-2023,43656.25,43872.85,43513.85,43583.95,227415842,9025.22
20-NOV-2023,43591.5,43724,43450.05,43584.95,124319579,5666.42
21-NOV-2023,43790.95,43790.95,43586.45,43689.15,108196578,5746.35
22-NOV-2023,43663.6,43692.5,43230.95,43449.6,150863505,7329.92
23-NOV-2023,43452.75,43649.65,43451.35,43577.5,72280382,3834.27
24-NOV-2023,43607.35,43806.5,43566.15,43769.1,96846530,4775.9
28-NOV-2023,43851.55,43960.3,43739.8,43880.95,151249387,7047.12
29-NOV-2023,44081.75,44630.35,44003.45,44566.45,152338716,7734.64
30-NOV-2023,44711.2,44764.8,44254.6,44481.75,343168253,21570.23
01-DEC-2023,44580.15,44951.1,44531.75,44814.2,204927587,8180.31
04-DEC-2023,45671.5,46484.45,45484.2,46431.4,311170393,14550.11
05-DEC-2023,46895.9,47230.55,46653.65,47012.25,326064098,15573.44
06-DEC-2023,47256.75,47259.85,46750.2,46834.55,244245159,10666.48
07-DEC-2023,46735.4,46927.7,46507.15,46841.4,208148115,6747.85
08-DEC-2023,46797.2,47303.65,46793.9,47262,218254038,9180.03
11-DEC-2023,47233.3,47588,47186.6,47314.25,182500023,7276.41
12-DEC-2023,47421.7,47454,47004.05,47097.55,181986087,8796.84
13-DEC-2023,47190.75,47201.95,46886.9,47092.25,202304718,8905.84
14-DEC-2023,47567.65,47943.6,47510.85,47732.3,193093079,9839.45
15-DEC-2023,47939.9,48219.95,47632.85,48143.55,313865426,20163.08
18-DEC-2023,48068.5,48076.6,47806.7,47867.7,157255424,6762.4
19-DEC-2023,47940.4,48017,47646.05,47870.9,189789200,7801.73
20-DEC-2023,48085.35,48166.15,47202.65,47445.3,242487993,10779.73
21-DEC-2023,47172.45,47932.4,46919.7,47840.15,207998676,10008.37
22-DEC-2023,47837.75,48071.4,47415.85,47491.85,165824495,10615.92
26-DEC-2023,47576.4,47838.45,47411.65,47724.85,118747478,6180.81
27-DEC-2023,47818.5,48347.65,47806.7,48282.2,184934337,7976.75
28-DEC-2023,48479.05,48636.45,48343.15,48508.55,391088458,14240.16
29-DEC-2023,48374.85,48477.7,48091.85,48292.25,173986713,7476.67
01-JAN-2024,48203.45,48450,48044.15,48234.3,146861652,4959.89
02-JAN-2024,48194.8,48223.55,47689.8,47761.65,183177683,8751.01
03-JAN-2024,47796.3,47798.75,47481.35,47704.95,233345158,9832.53
04-JAN-2024,47805.4,48281.2,47738.15,48195.85,175744981,9718.17
05-JAN-2024,48245.55,48381.95,47822.85,48159,180954626,9834.28
08-JAN-2024,48096.65,48154.5,47387.35,47450.25,231436501,9469.54
09-JAN-2024,47705.4,47939.3,47156.05,47242.65,160987383,7934.05
10-JAN-2024,47073.85,47423.45,47010.8,47360.85,165160645,6969.8
11-JAN-2024,47538.6,47662.1,47237,47438.35,132519875,5966.43
12-JAN-2024,47572.7,47873.7,47408.5,47709.8,191640544,7146.18
15-JAN-2024,47891.05,48248.05,47825.4,48158.3,167053734,8548.16
16-JAN-2024,48109.95,48305.4,48002.85,48125.1,224460146,8140.38
17-JAN-2024,46573.95,47212.75,45979.6,46064.45,499645242,29225.38
18-JAN-2024,45492.75,46184.05,45430.7,45713.55,275044049,19277.92
19-JAN-2024,46103.5,46249.85,45558.05,45701.15,296609385,17405.47
20-JAN-2024,45989.25,46183.7,45640.9,46058.2,157202694,7004.79
23-JAN-2024,46495.45,46580.3,44886.1,45015.05,422624502,23485.75
24-JAN-2024,44489.4,45485.5,44489.4,45082.4,348696634,17822.46
25-JAN-2024,45057.95,45139.05,44429,44866.15,386805113,19114.35
29-JAN-2024,45171.5,45660.35,45110.9,45442.35,336781672,14163.2
30-JAN-2024,45481.5,45678.7,45206.05,45367.75,232110117,10108.33
31-JAN-2024,45295.65,46179.75,45071.2,45996.8,373131629,16491.11
01-FEB-2024,46164.9,46306.9,45668.35,46188.65,305721773,10681.78
02-FEB-2024,46568.2,46892.35,45901.25,45970.95,337040622,12743.15
05-FEB-2024,45962.25,46048.6,45615.1,45825.55,265909716,11202.01
06-FEB-2024,45891.2,45932.15,45527,45690.8,178592534,9115.56
07-FEB-2024,45944.6,46062.85,45620.5,45818.5,283674776,13737.11
08-FEB-2024,45973.85,46181.2,44893.75,45012,319908560,17193.25
09-FEB-2024,44986.75,45718.15,44859.15,45634.55,275980366,13111.21
12-FEB-2024,45664.3,45748.5,44633.85,44882.25,268816417,10317.6
13-FEB-2024,45056.8,45750.4,44819.55,45502.4,245860544,12243.15
14-FEB-2024,45014.65,46170.45,44860.75,45908.3,279949703,16369.67
15-FEB-2024,46027.1,46297.7,45590.2,46218.9,277735723,11616.29
