Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
16-Nov-23,31555.1,32453.65,31431.5,32273.35,26936523,4845.89
17-Nov-23,32288.9,32405.85,32134.65,32191.3,16422338,2871.37
20-Nov-23,32202.3,32600.35,32198.1,32383.2,15288580,2743.26
21-Nov-23,32507.75,32587.15,32300.05,32325.7,12383952,2365.67
22-Nov-23,32298,32583.45,32262.15,32564.4,11078540,2089.79
23-Nov-23,32657.15,32688,32334.5,32370.65,14217724,2611.12
24-Nov-23,32341,32420.45,32010,32055.15,11833523,2168.63
28-Nov-23,32115.85,32187.95,31807.85,32118.45,14291599,2474.66
29-Nov-23,32258.5,32633,32248.35,32608.4,18809278,2861.66
30-Nov-23,32569.8,32701.65,32455.3,32582.2,39485165,9405.23
01-Dec-23,32729.8,32729.8,32478.75,32598.7,13434173,1966.91
04-Dec-23,32888.2,32888.2,32522.45,32665.55,16847469,2606.96
05-Dec-23,32754,32755.2,32252.45,32479.15,18997780,2881.86
06-Dec-23,32560.15,33073.05,32529.3,33022.6,25298893,3605.82
07-Dec-23,33053.65,33111.65,32891.75,32961.6,16759090,2734.25
08-Dec-23,33098.65,33452.4,33012.7,33392.9,25718273,4280.04
11-Dec-23,33424,33615.7,33332.5,33514.25,16299542,2727
12-Dec-23,33484.8,33799.8,33358,33493.9,19739960,3352.46
13-Dec-23,33466.3,33497.45,32715.65,33066.65,23528414,4135.4
14-Dec-23,33451.95,34308.55,33419.1,34223.35,43972461,7568.37
15-Dec-23,34427.55,35947.6,34427.55,35782.45,67549074,12469.99
18-Dec-23,35707.3,36132,35487.95,35685.55,27593056,4602.38
19-Dec-23,35728.4,35762.1,35091.95,35345,20560813,3416.16
20-Dec-23,35492.8,35928.5,34621,34741,32449410,5115.68
21-Dec-23,34406.8,35020,34394.55,34846.05,19948751,3351.93
22-Dec-23,34974.65,35770.45,34740.15,35637.8,39173458,4960.05
26-Dec-23,35421.15,35682.65,35185.45,35493.4,40071663,4012.38
27-Dec-23,35557.3,35814.7,35447.1,35741,22864198,3044.49
28-Dec-23,35812,35850.4,35614.8,35691.6,21678647,3375.15
29-Dec-23,35559.4,35781.1,35395.05,35515,18044431,2770.83
01-Jan-24,35496.4,35890.75,35353.85,35695.9,17623657,2074.6
02-Jan-24,35668.05,35701.8,35106.15,35283.1,18439234,2895.14
03-Jan-24,35039.05,35076.95,34367.75,34395.45,24861533,3676.31
04-Jan-24,34552.95,34800.35,34236.6,34409.4,26946973,4630.83
05-Jan-24,34469.7,34991.55,34459.45,34851.7,24561089,3881.91
08-Jan-24,34876.65,34881.8,34419.75,34514.65,15045046,2333.53
09-Jan-24,34926.65,35139.35,34608.45,34662.45,18703812,2952.13
10-Jan-24,34693,34941,34546.95,34834.35,16291250,2674.57
11-Jan-24,34978.3,35104.95,34665.1,34735.25,21928232,3750.79
12-Jan-24,35673,36581.1,35659.55,36521.7,67145819,11716.84
15-Jan-24,37538.45,37929.3,37109.35,37201.95,99246973,10636.61
16-Jan-24,37132.4,37132.4,36600.45,36727.1,28835598,3946.31
17-Jan-24,36299.6,37107.2,36289.3,36960.4,35576084,5811.43
18-Jan-24,36784.35,36826.45,36136.4,36730.5,34235335,6264.49
19-Jan-24,37065,37263.95,36831.35,37069.25,24371607,4557.06
20-Jan-24,37259.8,37310.65,36643.7,36697.5,10653354,1460.48
23-Jan-24,36958.3,37383.45,36424.9,36521.35,31151729,6097.1
24-Jan-24,36761.6,37174.2,36435.3,37090.15,23570462,4550.63
25-Jan-24,36938.6,36938.6,36354.1,36496.2,30826693,5344.18
29-Jan-24,36553.8,36653.25,36351.5,36531.9,18309101,3617.42
30-Jan-24,36682.1,37022.9,36321.1,36381.95,19523683,3748.14
31-Jan-24,36373.95,36704.5,36228.85,36638.4,25117373,4659.14
01-Feb-24,36632.5,36951.4,36451.15,36534.55,18718023,3546.55
02-Feb-24,36730.15,37663.95,36729.95,37323.25,26859773,4976.27
05-Feb-24,37441,37574.45,37097.95,37162.15,15430785,2865.2
06-Feb-24,37267.15,38286,37161.6,38246.3,36882082,6269.58
07-Feb-24,38345.4,38373.45,37734.55,37767.75,17749710,3252.94
08-Feb-24,37893.45,38101.5,37625.75,37851.6,20865415,3678.53
09-Feb-24,37891.5,38082.05,37443.75,37699.25,16093101,3023.27
12-Feb-24,37770,38285.35,37770,37998,38322893,4972.46
13-Feb-24,38070.4,38258.5,37605.3,38204,20462096,2825.48
14-Feb-24,37724.75,37844.7,37200.05,37775.4,22949601,3309.08
15-Feb-24,38053.3,38270.45,37735.6,37999.55,19193939,3022.94
