Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
16-NOV-2023,8143.3,8207.7,8122,8173.1,109943569,3575.08
17-NOV-2023,8164.15,8214.05,8074.15,8082.3,114892772,3069.54
20-NOV-2023,8093.65,8109.6,8053.05,8072.25,45983691,1371.24
21-NOV-2023,8111,8127.85,8070.4,8078.8,69695706,2260.01
22-NOV-2023,8087.3,8150.65,8061.35,8106.6,72540402,2665.98
23-NOV-2023,8124.25,8191.75,8098,8179.45,70811765,2548.74
24-NOV-2023,8185,8195,8152.8,8161.2,71477791,2197.04
28-NOV-2023,8198.85,8353.35,8190.2,8347.25,165985941,5374.53
29-NOV-2023,8410.65,8449.1,8390.15,8414.6,131447886,4973.79
30-NOV-2023,8433.35,8486.65,8370.8,8476.4,231721686,7880.67
01-DEC-2023,8520.15,8559.15,8494.85,8518.8,131910305,4261.36
04-DEC-2023,8708.95,8831.25,8646.45,8786.75,237918470,7288.02
05-DEC-2023,8872.05,8919.9,8797.6,8910.55,178549367,7152.71
06-DEC-2023,8993.25,9056.9,8952.15,9043.05,140391918,7090.4
07-DEC-2023,9085.5,9124.5,9037.7,9109.7,136074845,5398.56
08-DEC-2023,9183.4,9197,8948.65,9044.5,109205597,5353.91
11-DEC-2023,9089.6,9134.1,9021.5,9044.25,102214279,4010.69
12-DEC-2023,9054,9062.75,8912.7,8926.85,77486922,3498.13
13-DEC-2023,8943.8,8947.75,8858.5,8915.1,103439998,4329.99
14-DEC-2023,8987.05,9054.3,8950.2,9039.3,137633297,5288.75
15-DEC-2023,9082.35,9190.35,9070.25,9150.9,156209349,5622.34
18-DEC-2023,9165.6,9206.1,9113.05,9155.65,80711857,3951.25
19-DEC-2023,9241.35,9258.1,9142.05,9228.65,108066466,4676.06
20-DEC-2023,9289.5,9447.7,9035.2,9053.8,205636249,7511.39
21-DEC-2023,8992.7,9223.35,8971.8,9210.45,123347259,4890.09
22-DEC-2023,9249.05,9297.4,9213.25,9287.05,187858892,5685.66
26-DEC-2023,9316.3,9451.05,9290.5,9427.05,189209221,5064.01
27-DEC-2023,9477.3,9491.4,9376,9399.4,117165259,3978.26
28-DEC-2023,9433.55,9625.55,9401.45,9588.75,229901200,7418.63
29-DEC-2023,9548.3,9558.75,9474.4,9496.15,160397028,5193.1
01-JAN-2024,9551,9617.7,9526.45,9572.85,124979847,3388.6
02-JAN-2024,9581.35,9664.25,9472.4,9635.85,136644746,4319.41
03-JAN-2024,9670.25,9742.35,9645.95,9688.95,120189383,5468.06
04-JAN-2024,9720.1,9766.05,9679,9745.4,120580290,4555.79
05-JAN-2024,9796.6,9816.45,9719.65,9770.3,119097280,3903.24
08-JAN-2024,9819.35,9874.4,9698.4,9720.8,108437738,3825.77
09-JAN-2024,9807.95,9812.65,9719.3,9731.05,86814697,2909.41
10-JAN-2024,9693.7,9748.8,9566,9731.65,98413040,3889.06
11-JAN-2024,9778.75,9888.3,9765.2,9875.2,124260705,6112.67
12-JAN-2024,9910.4,10034.8,9842.85,10019.95,137093977,5268.4
15-JAN-2024,10098.05,10204.95,10000.15,10193.2,144126953,4620.98
16-JAN-2024,10207.5,10323.3,10167.9,10230.65,181019595,5769.07
17-JAN-2024,10140.05,10280.4,10097.55,10128.9,145042475,5095.02
18-JAN-2024,10077.8,10206.5,9943.95,10189.4,131518944,4849.16
19-JAN-2024,10273.2,10379.1,10223.5,10359,115644174,4329.27
20-JAN-2024,10405.15,10440.75,10329.1,10373.4,88846994,3263.4
23-JAN-2024,10517.4,10520.1,9957.65,10013.15,173933604,6960.65
24-JAN-2024,10055.5,10236.25,9987.95,10215,121596875,5702.22
25-JAN-2024,10253.25,10285.35,10139.6,10183.3,132097656,5150.78
29-JAN-2024,10291.2,10738.85,10259.2,10710.4,226704121,8928.79
30-JAN-2024,10824.1,10938.25,10636.8,10656.35,266819541,9262.66
31-JAN-2024,10675.35,10799.3,10649.8,10728.65,142410706,5884.83
01-FEB-2024,10803.95,10803.95,10654.3,10727.95,139071820,5508.82
02-FEB-2024,10825.85,11159.8,10816.65,11111.5,285467618,10578.2
05-FEB-2024,11222,11448.15,11108.6,11271.4,276735578,8658.81
06-FEB-2024,11365.15,11623.65,11194.6,11572.05,281798310,9510.52
07-FEB-2024,11679.15,11721.75,11526.1,11596.8,203736389,7390.74
08-FEB-2024,11675.1,11779.2,11558,11704.3,195754960,8038.96
09-FEB-2024,11750.15,11754.35,11301.8,11541.4,215232392,7586.31
12-FEB-2024,11510.25,11561.15,11190.6,11239.05,153245214,5362.9
13-FEB-2024,11256.1,11376.5,11137.85,11289.65,115776125,4435.13
14-FEB-2024,11197.25,11663.5,11158.45,11639.85,175232319,6825.53
15-FEB-2024,11705.7,11982.2,11655.9,11926.4,252042279,9853.76
