Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
16-NOV-2023,16667.3,16863.85,16632.3,16788.9,41826716,3807.32
17-NOV-2023,16819.35,16951.6,16798.9,16905.5,45613210,3310.7
20-NOV-2023,16912.45,16951.3,16730.1,16777.3,33845576,2802.7
21-NOV-2023,16824.65,16871.4,16758.3,16860.1,38249842,2784.85
22-NOV-2023,16880.1,16992.55,16767.65,16972.2,43697884,3786.79
23-NOV-2023,17018.75,17067.95,16993.75,17033.55,28388853,3797.17
24-NOV-2023,17067.15,17080.85,17014.1,17040.35,29832601,2476.58
28-NOV-2023,17092,17230.55,17047.1,17202.75,46757062,3360.62
29-NOV-2023,17286.5,17503.75,17244.25,17482.45,66065563,4173.64
30-NOV-2023,17514.65,17588.55,17436.7,17551.85,81814040,6940.98
01-DEC-2023,17611.25,17644.75,17462.05,17489.05,50137533,4047.89
04-DEC-2023,17756.15,17756.95,17530.95,17687.25,66188276,4953.03
05-DEC-2023,17728.85,17868.5,17681.6,17792.1,49097601,4275.13
06-DEC-2023,17775.35,17827.7,17672.95,17788.4,48230509,3868.18
07-DEC-2023,17865.75,18005.6,17757.4,17867.35,42433008,4089.41
08-DEC-2023,17914.95,17948.25,17663.3,17769.1,42856813,3168.01
11-DEC-2023,17811.15,17885.85,17711.65,17852.3,54237036,3308.2
12-DEC-2023,17927.4,17935,17630.65,17726.5,40242369,4054.48
13-DEC-2023,17753.8,17937.15,17699.65,17917.9,41820976,3689.59
14-DEC-2023,17998.55,18077,17926.6,18045.05,58754702,3886.91
15-DEC-2023,18179.2,18182.1,17843.25,18038.25,52909545,4929.9
18-DEC-2023,18048.45,18156.1,17969.75,18068.25,35153021,3453.13
19-DEC-2023,18112.25,18116.55,17905.1,17932.7,32126372,2735.65
20-DEC-2023,18019.1,18038.5,17479.9,17523.55,53666032,3930.03
21-DEC-2023,17405,17603.55,17294.35,17537.85,49255611,3437.92
22-DEC-2023,17627.75,17840.6,17566.85,17778.9,38606765,3388.11
26-DEC-2023,17841.9,17977.05,17806.9,17953.55,39441172,2781.48
27-DEC-2023,18040.35,18242.85,18009.75,18224.85,55165607,4246.12
28-DEC-2023,18244.35,18446.55,18234.75,18408.6,54346500,4971.97
29-DEC-2023,18440.8,18719.5,18417.85,18618.2,158226628,7210.95
01-JAN-2024,18666.35,18707.8,18565.05,18594.35,111119738,4089.43
02-JAN-2024,18651.35,18664.35,18241,18339.35,80495853,4871.81
03-JAN-2024,18361.3,18395.45,18175.5,18317.5,49691190,3852.11
04-JAN-2024,18428.95,18428.95,18296.75,18326.75,59064589,4445.03
05-JAN-2024,18378.45,18514.75,18345.2,18406.95,56528639,4216.8
08-JAN-2024,18490.65,18556.75,18332.3,18350.2,60751582,3477.28
09-JAN-2024,18542.45,18606.15,18402.4,18519.8,64931318,5506.26
10-JAN-2024,18565.6,18575.1,18384.45,18559.1,55216503,3678.31
11-JAN-2024,18648.5,18826.9,18631.45,18755.1,67888356,5589.09
12-JAN-2024,18771,18798.75,18588.15,18715.2,48862199,3787.73
15-JAN-2024,18796.65,18799.4,18623.6,18765.25,48437034,2979.08
16-JAN-2024,18749.1,18865.85,18642.3,18712.7,46996165,3686.79
17-JAN-2024,18537,18620,18413.65,18447.25,49750584,4058.9
18-JAN-2024,18402.5,18528.45,18142.5,18496.25,52982976,4054.42
19-JAN-2024,18585.05,18708.35,18572.75,18694.6,36218101,3008.96
20-JAN-2024,18752.25,18786.75,18592.15,18651.1,19996841,1444.47
23-JAN-2024,18649.6,18763,18314.15,18361,63360536,5331.29
24-JAN-2024,18384.6,18632.15,18143.75,18593.7,48266011,3787.16
25-JAN-2024,18707.75,18709.1,18434.45,18614.9,76636303,5712.7
29-JAN-2024,18631,18949.6,18570.75,18927.25,62622012,4783.34
30-JAN-2024,18993.65,19123.7,18859.1,18878.35,49829948,4448.22
31-JAN-2024,18887.15,19257.1,18861.55,19227.15,61585425,5869.1
01-FEB-2024,19351.85,19559.55,19283.35,19328.7,55933737,6127.36
02-FEB-2024,19364,19563.05,19304.75,19380.5,55128244,4842.82
05-FEB-2024,19655.85,19823.35,19529.2,19615.3,115089413,7322.17
06-FEB-2024,19731.2,19912.45,19683.9,19903.85,102438688,5021.25
07-FEB-2024,19977.75,20033.6,19762.2,19903.8,54477950,3187.76
08-FEB-2024,19963.25,19974.55,19607.5,19649.5,42430202,3512.44
09-FEB-2024,19709.75,19713.35,19365.2,19576,44856871,3727.94
12-FEB-2024,19644,19653.15,19364.5,19419.6,53756038,4282.81
13-FEB-2024,19504.95,19554,19235.9,19433.05,57177542,4234.58
14-FEB-2024,19300.5,19770.8,19257.1,19716,43003879,4231.33
15-FEB-2024,19842.65,20029.1,19811.95,19981.7,37820857,4625.7
